roc_window,smooth_window,trend_window,roc_buy,roc_sell,tp_pct,sl_pct,max_candles,trades,win_rate,total_pnl,final_portf,sharpe,max_drawdown,avg_candles
5,3,200,3.0,-2.0,0.03,0.02,384,82,48.8,24.96,1024.96,0.96,-1.81,88.9
5,3,200,3.0,-2.0,0.03,0.02,192,82,50.0,23.36,1023.36,0.94,-1.49,72.6
5,3,200,3.0,-2.0,0.03,0.03,384,79,54.4,18.29,1018.29,0.62,-1.92,112.8
5,3,200,3.0,-2.0,0.03,0.03,192,80,53.8,12.59,1012.59,0.45,-1.8,85.6
5,3,200,3.0,-3.0,0.03,0.02,384,28,50.0,5.01,1005.01,0.31,-0.9,50.2
10,3,200,2.0,-2.0,0.03,0.02,192,180,46.1,10.22,1010.22,0.29,-2.89,80.9
5,3,200,2.0,-2.0,0.03,0.03,192,114,50.9,8.39,1008.39,0.26,-2.59,93.9
10,3,200,2.0,-2.0,0.03,0.03,384,170,50.6,10.25,1010.25,0.25,-3.38,125.9
5,3,200,3.0,-3.0,0.03,0.02,192,28,50.0,3.26,1003.26,0.21,-1.11,46.7
10,3,200,2.0,-2.0,0.03,0.03,192,173,49.1,7.72,1007.72,0.2,-2.58,97.0
10,3,200,2.0,-2.0,0.03,0.02,384,180,44.4,6.72,1006.72,0.18,-2.57,102.3
5,3,200,2.0,-2.0,0.03,0.02,192,120,46.7,4.07,1004.07,0.14,-1.98,76.0
5,3,200,2.0,-2.0,0.03,0.03,384,113,49.6,4.82,1004.82,0.14,-3.2,121.6
10,3,200,2.0,-2.0,0.08,0.02,192,146,37.7,5.05,1005.05,0.12,-4.84,119.5
5,3,200,3.0,-2.0,0.03,0.02,96,84,45.2,2.15,1002.15,0.09,-1.44,52.9
10,3,200,2.0,-2.0,0.08,0.03,384,131,37.4,1.53,1001.53,0.03,-4.09,205.0
5,3,200,2.0,-2.0,0.03,0.02,384,120,43.3,0.61,1000.61,0.02,-2.38,93.8
10,3,200,3.0,-2.0,0.03,0.02,192,133,44.4,-0.25,999.75,-0.01,-1.89,77.9
5,3,200,3.0,-3.0,0.03,0.03,384,28,53.6,-0.7,999.3,-0.04,-1.19,60.7
10,3,200,2.0,-2.0,0.08,0.03,192,140,40.0,-3.1,996.9,-0.07,-4.51,135.2
10,3,200,3.0,-2.0,0.03,0.02,384,133,43.6,-2.71,997.29,-0.08,-2.11,98.4
5,3,200,3.0,-3.0,0.03,0.03,192,28,53.6,-1.43,998.57,-0.08,-1.4,56.8
5,3,200,3.0,-2.0,0.03,0.03,96,83,48.2,-2.08,997.92,-0.08,-1.61,60.1
10,3,200,2.0,-3.0,0.03,0.03,192,116,49.1,-3.43,996.57,-0.1,-3.54,105.1
5,3,200,2.0,-3.0,0.03,0.03,96,66,48.5,-2.58,997.42,-0.11,-2.54,63.7
5,3,200,3.0,-3.0,0.03,0.02,96,28,46.4,-2.17,997.83,-0.14,-1.65,37.5
10,3,200,3.0,-2.0,0.03,0.03,384,126,50.8,-5.68,994.32,-0.16,-2.73,113.0
5,3,200,3.0,-3.0,0.03,0.03,96,28,50.0,-3.29,996.71,-0.19,-1.59,44.9
10,3,200,2.0,-2.0,0.08,0.02,384,142,31.7,-9.49,990.51,-0.21,-5.17,171.2
5,3,200,2.0,-2.0,0.03,0.03,96,118,47.5,-6.14,993.86,-0.21,-2.04,64.4
5,3,200,2.0,-2.0,0.03,0.02,96,122,44.3,-6.09,993.91,-0.22,-2.13,54.7
10,3,200,2.0,-2.0,0.05,0.03,192,153,41.2,-10.51,989.49,-0.25,-3.82,124.4
10,3,200,2.0,-3.0,0.05,0.03,192,106,42.5,-9.02,990.98,-0.26,-3.99,127.5
5,3,200,3.0,-2.0,0.08,0.03,384,62,35.5,-9.84,990.16,-0.29,-2.49,215.3
5,3,200,3.0,-2.0,0.05,0.02,192,73,39.7,-7.73,992.27,-0.3,-2.02,104.2
5,3,200,3.0,-2.0,0.08,0.02,384,66,28.8,-9.81,990.19,-0.31,-2.63,175.5
5,3,200,3.0,-2.0,0.05,0.02,384,71,33.8,-9.04,990.96,-0.32,-2.17,142.3
5,3,200,2.0,-3.0,0.03,0.03,192,64,48.4,-7.84,992.16,-0.32,-2.45,94.9
10,3,200,3.0,-2.0,0.08,0.02,192,108,35.2,-13.77,986.23,-0.4,-3.64,115.6
10,3,200,3.0,-2.0,0.03,0.03,192,128,47.7,-14.58,985.42,-0.42,-2.35,89.3
5,3,200,3.0,-3.0,0.05,0.03,192,26,42.3,-8.44,991.56,-0.44,-1.85,103.8
10,3,200,2.0,-2.0,0.05,0.02,192,163,37.4,-18.28,981.72,-0.47,-5.11,106.7
5,3,200,2.0,-3.0,0.03,0.02,96,66,43.9,-10.41,989.59,-0.49,-2.84,49.6
5,3,200,2.0,-2.0,0.08,0.02,384,99,29.3,-19.02,980.98,-0.5,-3.47,171.6
5,3,200,2.0,-2.0,0.08,0.03,384,94,34.0,-20.31,979.69,-0.5,-4.23,207.8
5,3,200,3.0,-3.0,0.05,0.03,96,26,42.3,-9.2,990.8,-0.51,-1.73,67.2
10,3,200,3.0,-2.0,0.08,0.03,384,97,36.1,-24.06,975.94,-0.57,-5.2,203.8
5,3,200,3.0,-2.0,0.08,0.02,192,70,38.6,-15.23,984.77,-0.59,-3.3,116.5
5,3,200,3.0,-2.0,0.05,0.03,384,66,39.4,-18.53,981.47,-0.61,-3.26,184.3
10,3,200,2.0,-2.0,0.03,0.02,96,187,43.9,-21.36,978.64,-0.64,-3.87,59.1
10,3,200,2.0,-3.0,0.03,0.03,384,113,48.7,-23.15,976.85,-0.65,-5.61,138.0
10,3,200,3.0,-2.0,0.03,0.02,96,137,44.5,-19.59,980.41,-0.67,-3.61,56.0
10,3,200,3.0,-2.0,0.08,0.02,384,104,28.8,-25.93,974.07,-0.67,-4.6,169.5
5,3,200,2.0,-3.0,0.03,0.03,384,64,46.9,-19.1,980.9,-0.7,-2.77,119.0
10,3,200,2.0,-2.0,0.03,0.03,96,180,47.2,-25.4,974.6,-0.71,-4.04,67.9
5,3,200,2.0,-3.0,0.05,0.03,96,64,42.2,-16.3,983.7,-0.72,-2.04,77.9
5,3,200,3.0,-3.0,0.05,0.03,384,26,34.6,-14.64,985.36,-0.72,-2.36,152.9
5,3,200,2.0,-3.0,0.03,0.02,192,66,43.9,-16.11,983.89,-0.72,-2.48,68.2
5,3,200,2.0,-2.0,0.08,0.02,192,103,37.9,-23.95,976.05,-0.73,-4.19,115.2
10,3,200,2.0,-2.0,0.05,0.03,384,147,38.8,-33.26,966.74,-0.74,-5.69,175.2
10,3,200,2.0,-3.0,0.08,0.03,192,100,40.0,-26.05,973.95,-0.75,-5.93,139.7
5,3,200,2.0,-2.0,0.05,0.03,192,102,42.2,-25.54,974.46,-0.76,-3.98,125.3
5,3,200,3.0,-3.0,0.05,0.02,192,27,37.0,-12.66,987.34,-0.77,-1.52,81.8
10,3,200,2.0,-3.0,0.05,0.03,384,100,39.0,-29.34,970.66,-0.77,-5.41,174.6
10,3,200,2.0,-2.0,0.05,0.02,384,157,33.1,-31.31,968.69,-0.77,-5.43,148.2
5,3,200,2.0,-3.0,0.05,0.03,192,61,39.3,-21.25,978.75,-0.77,-4.45,124.3
5,3,200,2.0,-2.0,0.05,0.02,192,109,38.5,-25.81,974.19,-0.82,-3.95,104.2
5,3,200,3.0,-2.0,0.05,0.03,192,70,44.3,-24.28,975.72,-0.85,-3.65,124.1
5,3,200,2.0,-3.0,0.03,0.02,384,66,39.4,-20.33,979.67,-0.86,-3.18,84.7
5,3,200,2.0,-2.0,0.08,0.03,192,97,42.3,-29.28,970.72,-0.87,-4.68,137.5
10,3,200,2.0,-3.0,0.03,0.02,192,121,42.1,-26.51,973.49,-0.9,-4.96,74.3
20,3,200,2.0,-3.0,0.08,0.03,384,134,36.6,-43.66,956.34,-0.93,-6.37,203.0
20,3,200,3.0,-3.0,0.03,0.02,384,121,39.7,-28.45,971.55,-0.94,-4.52,89.6
20,3,200,3.0,-3.0,0.05,0.02,384,111,30.6,-34.0,966.0,-0.95,-5.09,124.5
5,3,200,2.0,-2.0,0.05,0.02,384,107,31.8,-32.2,967.8,-0.95,-5.11,138.8
5,3,200,2.0,-2.0,0.05,0.03,384,99,37.4,-34.34,965.66,-0.95,-5.45,178.3
20,3,200,3.0,-2.0,0.08,0.03,384,131,33.6,-44.25,955.75,-0.96,-7.53,211.1
20,3,200,3.0,-3.0,0.03,0.02,192,121,41.3,-28.18,971.82,-0.97,-3.67,70.5
20,3,200,3.0,-3.0,0.08,0.02,192,105,33.3,-33.5,966.5,-0.98,-5.39,107.1
5,3,200,3.0,-3.0,0.05,0.02,384,27,29.6,-17.02,982.98,-0.99,-1.78,109.4
20,3,200,2.0,-2.0,0.08,0.03,384,182,31.9,-51.61,948.39,-0.99,-8.4,197.4
10,3,200,2.0,-3.0,0.03,0.03,96,121,43.0,-29.76,970.24,-1.01,-5.11,69.4
20,3,200,3.0,-3.0,0.05,0.02,192,111,35.1,-33.08,966.92,-1.01,-4.84,94.3
20,3,200,2.0,-3.0,0.08,0.03,192,148,38.5,-45.29,954.71,-1.01,-6.66,135.9
20,3,200,2.0,-3.0,0.08,0.02,192,161,33.5,-42.03,957.97,-1.02,-7.06,112.2
5,3,200,3.0,-2.0,0.08,0.03,192,67,43.3,-29.53,970.47,-1.04,-3.95,136.3
10,3,200,3.0,-2.0,0.08,0.03,192,103,35.9,-38.95,961.05,-1.06,-5.75,130.7
20,3,200,2.0,-3.0,0.05,0.03,384,149,36.2,-48.6,951.4,-1.06,-6.39,171.7
10,3,200,2.0,-3.0,0.08,0.03,384,93,33.3,-42.61,957.39,-1.07,-6.8,206.8
20,3,200,3.0,-3.0,0.08,0.03,384,92,32.6,-43.5,956.5,-1.09,-5.17,198.3
5,3,200,3.0,-3.0,0.05,0.02,96,27,37.0,-17.1,982.9,-1.13,-1.97,56.0
10,3,200,3.0,-2.0,0.03,0.03,96,134,47.0,-36.51,963.49,-1.13,-4.83,64.7
20,3,200,2.0,-3.0,0.05,0.02,384,163,30.7,-48.03,951.97,-1.15,-6.5,139.7
20,3,200,3.0,-3.0,0.03,0.03,384,113,46.0,-40.87,959.13,-1.18,-4.73,118.1
10,3,200,2.0,-3.0,0.03,0.02,384,121,38.8,-37.09,962.91,-1.21,-6.43,90.7
10,3,200,3.0,-3.0,0.03,0.03,192,67,43.3,-31.88,968.12,-1.23,-4.37,82.3
20,3,200,3.0,-3.0,0.08,0.03,192,98,36.7,-45.48,954.52,-1.24,-6.28,132.6
5,3,200,2.0,-3.0,0.08,0.03,96,63,41.3,-27.72,972.28,-1.24,-3.18,81.7
20,3,200,3.0,-3.0,0.08,0.02,384,101,26.7,-45.78,954.22,-1.25,-5.7,156.3
20,3,200,2.0,-3.0,0.08,0.02,384,146,30.1,-53.08,946.92,-1.25,-7.1,163.8
20,3,200,2.0,-3.0,0.05,0.03,192,161,39.8,-54.74,945.26,-1.27,-7.41,124.5
10,3,200,3.0,-2.0,0.05,0.02,192,119,33.6,-41.34,958.66,-1.28,-5.6,102.5
20,3,200,3.0,-3.0,0.03,0.02,96,121,41.3,-35.25,964.75,-1.28,-4.16,50.7
5,3,200,2.0,-3.0,0.05,0.03,384,60,35.0,-37.89,962.11,-1.29,-4.76,178.9
10,3,200,3.0,-3.0,0.03,0.02,192,69,39.1,-28.92,971.08,-1.3,-4.22,62.1
20,3,200,2.0,-2.0,0.08,0.03,192,205,36.6,-63.61,936.39,-1.31,-10.15,134.4
20,3,200,3.0,-2.0,0.08,0.03,192,145,38.6,-52.89,947.11,-1.31,-7.19,142.2
20,3,200,3.0,-2.0,0.08,0.02,192,156,35.3,-51.29,948.71,-1.33,-7.37,118.8
20,3,200,3.0,-3.0,0.05,0.03,384,103,35.0,-52.62,947.38,-1.34,-6.71,157.8
20,3,200,3.0,-3.0,0.03,0.03,192,114,45.6,-44.16,955.84,-1.36,-4.88,91.2
20,3,200,2.0,-3.0,0.05,0.02,192,177,35.0,-53.41,946.59,-1.36,-7.19,103.7
20,3,200,3.0,-2.0,0.08,0.02,384,148,27.7,-58.17,941.83,-1.37,-8.02,165.7
10,3,200,2.0,-3.0,0.08,0.02,192,104,31.7,-47.39,952.61,-1.42,-7.19,103.1
5,3,200,2.0,-3.0,0.05,0.02,192,65,35.4,-35.67,964.33,-1.45,-4.0,94.8
20,3,200,3.0,-2.0,0.05,0.02,192,164,36.0,-54.11,945.89,-1.46,-6.67,108.3
10,3,200,3.0,-3.0,0.03,0.02,384,69,36.2,-33.81,966.19,-1.46,-4.78,73.6
20,3,200,3.0,-2.0,0.05,0.02,384,155,30.3,-57.56,942.44,-1.47,-7.62,143.2
5,3,200,2.0,-3.0,0.08,0.02,192,62,32.3,-38.02,961.98,-1.48,-4.54,103.4
5,3,200,3.0,-3.0,0.08,0.02,384,27,22.2,-26.47,973.53,-1.48,-3.0,127.9
10,3,200,2.0,-3.0,0.05,0.02,192,113,33.6,-47.82,952.18,-1.5,-6.54,93.7
20,3,200,2.0,-3.0,0.03,0.02,384,184,39.1,-55.81,944.19,-1.51,-7.04,106.9
20,3,200,3.0,-2.0,0.03,0.03,192,179,45.3,-58.56,941.44,-1.54,-7.39,105.5
5,3,200,2.0,-3.0,0.08,0.02,384,62,25.8,-43.71,956.29,-1.54,-4.84,149.6
5,3,200,3.0,-3.0,0.08,0.02,192,27,29.6,-24.56,975.44,-1.54,-2.9,92.8
10,3,200,3.0,-3.0,0.03,0.03,384,67,41.8,-42.98,957.02,-1.55,-5.99,101.9
20,3,200,3.0,-2.0,0.05,0.03,192,155,38.7,-62.4,937.6,-1.56,-7.17,130.7
20,3,200,2.0,-3.0,0.03,0.03,384,169,45.0,-65.81,934.19,-1.57,-8.03,136.2
10,3,200,2.0,-2.0,0.05,0.03,96,170,42.4,-55.73,944.27,-1.58,-6.45,79.4
10,3,200,2.0,-3.0,0.03,0.02,96,124,37.9,-42.87,957.13,-1.58,-5.67,55.7
5,3,200,3.0,-3.0,0.08,0.02,96,27,37.0,-22.88,977.12,-1.58,-2.55,60.7
20,3,200,2.0,-2.0,0.05,0.03,192,220,37.7,-73.21,926.79,-1.59,-10.32,128.0
5,3,200,2.0,-3.0,0.08,0.03,192,59,35.6,-42.27,957.73,-1.6,-5.12,136.6
10,3,200,2.0,-3.0,0.08,0.02,384,101,25.7,-57.59,942.41,-1.6,-7.72,145.9
5,3,200,3.0,-3.0,0.08,0.03,96,26,38.5,-25.38,974.62,-1.6,-2.8,74.9
20,3,200,2.0,-2.0,0.05,0.03,384,197,33.0,-76.66,923.34,-1.61,-10.44,174.3
10,3,200,3.0,-3.0,0.03,0.02,96,70,35.7,-34.7,965.3,-1.64,-4.75,47.1
5,3,200,2.0,-3.0,0.08,0.03,384,58,29.3,-50.62,949.38,-1.64,-5.45,204.8
5,3,200,2.0,-3.0,0.08,0.02,96,64,37.5,-35.69,964.31,-1.65,-3.97,64.6
5,3,200,2.0,-3.0,0.05,0.02,96,65,36.9,-34.68,965.32,-1.66,-3.87,62.2
10,3,200,2.0,-3.0,0.05,0.03,96,116,40.5,-47.85,952.15,-1.66,-6.0,78.5
20,3,200,2.0,-3.0,0.03,0.02,192,191,41.4,-58.49,941.51,-1.67,-7.49,86.3
5,3,200,3.0,-2.0,0.05,0.02,96,77,36.4,-36.59,963.41,-1.69,-3.91,68.3
20,3,200,3.0,-2.0,0.05,0.03,384,145,33.8,-73.77,926.23,-1.71,-9.84,177.1
10,3,200,3.0,-2.0,0.05,0.02,384,114,28.9,-58.51,941.49,-1.73,-6.75,144.1
10,3,200,3.0,-2.0,0.05,0.03,192,112,35.7,-61.28,938.72,-1.74,-7.66,119.6
10,3,200,2.0,-3.0,0.05,0.02,384,112,29.5,-59.9,940.1,-1.78,-7.6,120.9
5,3,200,3.0,-3.0,0.08,0.03,192,26,30.8,-31.17,968.83,-1.79,-3.37,118.1
20,3,200,3.0,-3.0,0.05,0.03,192,105,36.2,-63.45,936.55,-1.79,-7.26,117.6
20,3,200,2.0,-3.0,0.03,0.03,192,176,46.6,-69.95,930.05,-1.8,-8.88,106.3
5,3,200,3.0,-3.0,0.08,0.03,384,26,23.1,-34.91,965.09,-1.8,-3.85,174.9
5,3,200,2.0,-2.0,0.08,0.02,96,111,37.8,-49.32,950.68,-1.84,-5.29,70.1
5,3,200,2.0,-2.0,0.08,0.03,96,107,40.2,-52.72,947.28,-1.86,-5.63,81.9
5,3,200,2.0,-3.0,0.05,0.02,384,65,27.7,-48.24,951.76,-1.86,-5.62,124.9
20,3,200,2.0,-2.0,0.08,0.02,384,195,26.7,-87.99,912.01,-1.87,-11.12,162.8
10,3,200,2.0,-2.0,0.08,0.03,96,164,42.7,-63.65,936.35,-1.87,-7.28,83.1
5,3,200,3.0,-2.0,0.05,0.03,96,75,38.7,-44.26,955.74,-1.87,-4.67,77.9
5,3,200,2.0,-2.0,0.05,0.03,96,109,39.4,-52.09,947.91,-1.89,-5.57,79.4
5,3,200,2.0,-2.0,0.05,0.02,96,113,37.2,-49.13,950.87,-1.9,-5.28,68.3
10,3,200,3.0,-3.0,0.08,0.03,384,58,25.9,-58.68,941.32,-1.9,-6.32,170.6
10,3,200,2.0,-2.0,0.05,0.02,96,177,39.0,-62.83,937.17,-1.92,-7.01,69.5
5,3,200,3.0,-2.0,0.08,0.02,96,76,36.8,-41.55,958.45,-1.92,-4.47,70.6
20,3,200,3.0,-3.0,0.03,0.03,96,118,43.2,-59.06,940.94,-1.93,-6.31,63.6
20,3,200,3.0,-2.0,0.03,0.03,384,174,43.1,-79.63,920.37,-1.95,-9.79,136.5
10,3,200,3.0,-3.0,0.08,0.03,192,60,33.3,-53.21,946.79,-1.95,-5.48,119.6
10,3,200,3.0,-3.0,0.03,0.03,96,70,38.6,-46.37,953.63,-1.95,-5.67,59.4
20,3,200,2.0,-2.0,0.03,0.03,192,246,44.3,-83.92,916.08,-1.95,-10.05,108.7
20,3,200,3.0,-2.0,0.03,0.02,192,195,40.0,-68.44,931.56,-1.96,-7.7,82.3
20,3,200,2.0,-2.0,0.05,0.02,384,209,28.7,-87.34,912.66,-1.98,-10.63,137.6
10,3,200,2.0,-3.0,0.08,0.03,96,114,41.2,-55.86,944.14,-2.02,-5.77,82.1
20,3,200,2.0,-2.0,0.08,0.02,192,214,32.2,-89.3,910.7,-2.02,-12.44,114.9
10,3,200,3.0,-3.0,0.05,0.03,192,63,33.3,-56.19,943.81,-2.05,-6.13,104.7
5,3,200,3.0,-2.0,0.08,0.03,96,74,39.2,-49.65,950.35,-2.1,-5.21,81.0
20,3,200,2.0,-2.0,0.03,0.03,384,235,41.3,-97.43,902.57,-2.12,-11.33,140.8
20,3,200,3.0,-2.0,0.03,0.02,384,194,37.1,-78.17,921.83,-2.12,-8.64,100.6
10,3,200,2.0,-2.0,0.08,0.02,96,171,39.2,-69.95,930.05,-2.21,-7.85,73.1
10,3,200,3.0,-2.0,0.05,0.02,96,127,37.0,-63.01,936.99,-2.22,-6.97,67.4
20,3,200,2.0,-3.0,0.05,0.03,96,176,40.9,-80.71,919.29,-2.23,-9.09,77.0
10,3,200,3.0,-2.0,0.05,0.03,384,108,33.3,-84.04,915.96,-2.25,-9.73,169.6
20,3,200,2.0,-3.0,0.03,0.02,96,197,39.6,-74.57,925.43,-2.27,-8.41,58.8
20,3,200,3.0,-3.0,0.05,0.02,96,115,35.7,-63.15,936.85,-2.3,-6.51,62.7
20,3,200,2.0,-2.0,0.03,0.02,384,253,36.8,-97.35,902.65,-2.33,-10.74,108.9
10,3,200,3.0,-3.0,0.08,0.02,192,61,26.2,-56.06,943.94,-2.35,-5.7,88.9
20,3,200,2.0,-2.0,0.05,0.02,192,233,32.6,-102.66,897.34,-2.38,-12.91,105.4
20,3,200,2.0,-3.0,0.03,0.03,96,186,42.5,-84.41,915.59,-2.4,-9.38,69.4
20,3,200,3.0,-2.0,0.03,0.02,96,198,38.4,-77.27,922.73,-2.4,-8.8,59.4
20,3,200,3.0,-2.0,0.03,0.03,96,189,41.8,-84.08,915.92,-2.4,-9.64,70.7
10,3,200,3.0,-2.0,0.08,0.02,96,122,36.9,-67.89,932.11,-2.45,-7.56,70.7
20,3,200,2.0,-3.0,0.05,0.02,96,187,37.4,-82.46,917.54,-2.46,-9.12,66.4
10,3,200,3.0,-2.0,0.05,0.03,96,124,37.9,-78.24,921.76,-2.5,-8.74,78.1
20,3,200,3.0,-2.0,0.08,0.02,96,175,36.6,-80.01,919.99,-2.57,-9.13,75.9
20,3,200,2.0,-2.0,0.03,0.02,192,262,39.3,-103.37,896.63,-2.61,-11.66,89.1
10,3,200,3.0,-3.0,0.05,0.03,384,62,25.8,-75.87,924.13,-2.63,-7.84,136.8
10,3,200,2.0,-3.0,0.05,0.02,96,120,34.2,-70.9,929.1,-2.65,-7.41,63.9
10,3,200,3.0,-3.0,0.05,0.02,192,64,26.6,-60.09,939.91,-2.65,-6.1,76.8
10,3,200,3.0,-2.0,0.08,0.03,96,119,37.8,-82.57,917.43,-2.71,-9.19,81.1
20,3,200,3.0,-3.0,0.05,0.03,96,114,37.7,-82.61,917.39,-2.74,-8.46,75.3
20,3,200,3.0,-3.0,0.08,0.02,96,112,35.7,-73.04,926.96,-2.78,-7.5,66.5
20,3,200,2.0,-2.0,0.08,0.03,96,236,39.0,-108.05,891.95,-2.83,-11.71,83.2
20,3,200,3.0,-2.0,0.05,0.02,96,181,35.9,-88.1,911.9,-2.84,-9.34,72.0
10,3,200,3.0,-3.0,0.08,0.02,384,61,16.4,-72.35,927.65,-2.88,-7.16,119.0
20,3,200,2.0,-2.0,0.03,0.03,96,261,41.0,-113.08,886.92,-2.91,-12.26,71.6
20,3,200,3.0,-2.0,0.08,0.03,96,169,37.3,-97.67,902.33,-2.92,-10.55,85.7
20,3,200,2.0,-3.0,0.08,0.03,96,173,41.0,-99.78,900.22,-2.97,-10.49,80.8
20,3,200,2.0,-2.0,0.03,0.02,96,268,38.1,-110.53,889.47,-3.03,-11.87,62.0
10,3,200,2.0,-3.0,0.08,0.02,96,117,35.0,-77.86,922.14,-3.04,-7.87,67.9
20,3,200,2.0,-2.0,0.05,0.03,96,243,39.1,-117.3,882.7,-3.04,-12.5,80.5
20,3,200,3.0,-2.0,0.05,0.03,96,175,37.7,-104.17,895.83,-3.1,-10.84,82.6
10,3,200,3.0,-3.0,0.05,0.03,96,66,31.8,-72.78,927.22,-3.14,-7.38,71.0
20,3,200,3.0,-3.0,0.08,0.03,96,111,37.8,-92.9,907.1,-3.21,-9.48,78.7
20,3,200,2.0,-3.0,0.08,0.02,96,183,37.7,-99.45,900.55,-3.21,-10.45,70.3
20,3,200,2.0,-2.0,0.08,0.02,96,240,36.7,-114.09,885.91,-3.24,-12.3,74.6
10,3,200,3.0,-3.0,0.05,0.02,96,66,25.8,-66.72,933.28,-3.25,-6.77,55.5
20,3,200,2.0,-2.0,0.05,0.02,96,247,36.0,-119.32,880.68,-3.31,-12.59,70.9
10,3,200,3.0,-3.0,0.05,0.02,384,64,18.8,-76.65,923.35,-3.38,-7.59,92.1
10,3,200,3.0,-3.0,0.08,0.03,96,65,32.3,-77.19,922.81,-3.49,-7.82,73.4
10,3,200,3.0,-3.0,0.08,0.02,96,64,26.6,-71.45,928.55,-3.62,-7.24,59.3
